nm	kind_code
 MOLECULAR IMPRINTS, INC.; BOARD OF REGENTS, THE UNIVERSITY OF TEXAS SYSTEM	0
!maginethis Renovations, LLC	0
!OBAC Limited	0
#hiteley Corporation PTY. LTD.	0
(A) Silergy Semiconductor Technology (Hangzhou) LTD	0
(CRIM) Centre de Recherche Informatique de Montreal	3
(E)Mission Control Technologies, LLC	0
(INSERM) (Institut National de la Sante et de la Recherche Medicale)	3
(INSERM) INSTITUT NATIONAL DE LA SANTE ET DE LA RECHERCHE MEDICALE	3
(Kobe Steel, Ltd.)	0
(WE) FOR DOGS, LLC	0
.Decimal, Inc	0
.DECIMAL, INC.	0
.Kemin Foods, L.C.	0
:Philip Morris USA Inc.	0
@Legal Discovery LLC	0
@PAY IP HOLDINGS LLC	0
@Vance B.V.	0
[24]7.AI, INC.	0
[27]7.ai, Inc.	0
{Personalized Media Communications, LLC	0
|Am| Authentications Inc.	0
¡°AMYCARD¡± LLC	0
¡°APOLLON SOLAR¡±	0
¡°AVIDIN¡± Kutato, Fejleszto es Kereskedelmi Korlatolt Felelossegu Tarsasag	0
¡°Deutsche See¡± GmbH	0
¡°Intermind¡± Societe a Responsabilite Limitee	0
¡°Intermind¡± societe a responsabilite limitee	0
¡°IVIX¡± LTD.	0
¡°LOWA¡± Sportschuhe GmbH	0
¡°MEDEL¡±, LLC	0
¡°National Laboratory Astana¡± Private Institution	1
¡°NEXTGEN¡± COMPANY LIMITED	0
¡°NTZ LAB¡± LTD.	0
¡°S.U.K.¡± BETEILIGUNGS GMBH	0
¡°SCIENTIFIC CENTER OF ANTI-INFECTIOUS DRUGS¡± JOINT-STOCK COMPANY	0
¡°STC-MT¡± LLC	0
¡°TWIN TECHNOLOGY COMPANY¡±(000)	0
002152706 ONTARIO LTD.	0
01DB-METRAVIB	0
01dB-Metravib, Societe Par Actions Simplifee	0
01dB-METRAVIB, Societe par Actions Simplifiee	0
01WIRING S.R.L.	0
0200L, LLC	0
02Micro Inc	0
02Micro Inc.	0
02Micro, Inc.	0
03;BASF SE	0
03;TIANMA MICRO-ELECTRONICS CO., LTD.	0
059312 N.B. Inc.	0
060 Bio, LLC	0
0649072 BC Ltd.	0
0798465 B.C. Ltd.	0
0798555 B.C. Ltd.	0
0832521 B.C. Ltd.	0
0901601 B.C. LTD.	0
0903608 B.C. LTD.	0
0912139 B.C. LTD.	0
0926084 B.C. Ltd.	0
0934781 B.C. Ltd	0
0934781 B.C. LTD.	0
0971065 B.C. Ltd.	0
0Energy Lighting, Inc.	0
1 Adolfo, LLC	0
1 Diamond, LLC	0
1 Energy Solutions, Inc.	0
1 GLOBE HEALTH INSTITUTE LLC	0
1 Pin, LLC	0
1&amp;1 Internet SE	0
1,4 Group, Inc.	0
1,4Group, Inc.	0
1. SINTOKOGIO, LTD.	0
1/ CENTRE NATIONAL D'ETUDES SPATIALES	4
1/4 VIN	0
10 I CUBE S.R.L.	0
100 Milligrams Holding AB	0
100 Percent Recycled Panel Company Limited	0
100% SPEEDLAB, LLC	0
10029629 CANADA INC.	0
1010210 B.C. Ltd.	0
101061615 Saskatchewan Ltd.	0
101061615 Saskatcnewan Ltd.	0
101070291 Saskatchewan Ltd.	0
101210135 Saskatchewan Ltd.	0
101227980 SASKATCHEWAN LTD.	0
10148849 CANADA INC.	0
1020, Inc.	0
10-31 Inc.	0
1039578 B.C. Ltd	0
1040 Bridge LLC	0
1045929 ONTARIO LIMITED	0
106 Labs, L.L.C.	0
1066626 Ontario Ltd.	0
106941 AB LTD.	0
1069416 AB Ltd.	0
1069416 ALBERTA LTD.	0
1070715 B.C. Unlimited Liability Company	0
1073849 ONTARIO LIMITED	0
1075878 Alberta Ltd.	0
1087 Systems	0
1087 Systems, Inc.	0
1093929 Ontario Limited	0
10-VINS	0
10X GENOMICS, INC.	0
10x Technology LLC	0
1119456 B.C. Ltd.	0
1128653 Ontario Ltd.	0
1149336 Ontario Inc.	0
1149336 Ontario, Inc.	0
1158988 BC Ltd.	0
1175856 ONTARIO LTD.	0
1196501 ONTARIO INC.	0
12 Inch Art, LLC	0
12 SIGMA TECHNOLOGIES	0
1202858 Alberta Ltd.	0
1215089 Alberta Ltd.	0
123 CERTIFICATION INC.	0
1234 10th Street LLC	0
1238585 Alberta Ltd.	0
123-Engineering &amp; Innovation GmbH	0
1257 122 Alberta Ltd.	0
1279881 Alberta Ltd.	0
128 Combustion, Inc.	0
128 Combustion, LLC	0
128 Technology, Inc.	0
1281329 Alberta Ltd.	0
12NOVEM INDUSTRIES, INC.	0
12Novem Industries, LLC	0
12th Man Technologies, Inc.	0
13 Group Limited	0
13¡Æ Oblique, Societe Ou Association Sans Personalite Juridique	0
1304338 Alberta Ltd	0
1304338 Alberta Ltd.	0
1304342 Alberta Ltd	0
1304342 Alberta Ltd.	0
1304345 Alberta Ltd.	0
1311854 Ontario Limited	0
1316 LLC	0
1317442 ALBERTA LTD.	0
1339513 ONTARIO LTD.	0
1351910 Alberta Inc.	0
1366 Technologies Inc.	0
1366 Technologies, Inc.	0
13876 Yukon Inc.	0
13THERAPEUTICS, INC.	0
140 Proof, Inc.	0
14007 Mining Inc.	0
140Energy, Inc.	0
1432899 Ontario Inc.	0
1434529 Alberta Ltd.	0
1440072 Alberta Ltd.	0
1440814 ONTARIO INC.	0
1445 Designs Corporation	0
1461043 Ontario Limited	0
1464684 Alberta Ltd.	0
1474559 Alberta Ltd.	0
1497690 Alberta Inc.	0
1497690 Alberta Ltd.	0
15 Seconds of Fame, Inc.	0
1501367 Alberta Ltd.	0
1540 Innovatus, LLC	0
1555771 ALBERTA LTD.	0
1564330 Ontario Inc.	0
1566618 Alberta Ltd.	0
1567958 Alberta Ltd.	0
1589549 Alberta Ltd.	0
1593563 Ontario Inc.	0
16 &amp; 8 SPORTS INC.	0
1612017 Alberta Ltd.	0
1614 Group, Inc.	0
161508 CANADA INC.	0
1616515 Alberta Ltd.	0
1623920 Alberta Ltd.	0
1626628 Ontario Limited	0
1636457 Alberta Ltd.	0
1651661 Alberta Ltd.	0
1675119 Ontario Inc.	0
167811 Canada Inc.	0
168 Productions, LLC	0
16Lab Inc	0
16Max Corporation	0
1708828 ONTARIO LIMITED	0
1720618 Ontario Inc.	0
1729655 ALBERTA LTD.	0
1735729 Alberta Ltd.	0
1750481 ALBERTA INC.	0
1776 Media Network, Inc.	0
1783590 Ontario Ltd.	0
18 Gaming, LLC	0
180s, Inc.	0
1814393 Ontario Inc.	0
1827642 Alberta Ltd.	0
1834032 Alberta Inc.	0
1842728 Ontario Inc	0
1861244 ONTARIO INC	0
1867239 ONTARIO CORP.	0
1876255 ONTARIO LIMITED	0
1892575 ALBERTA LTD.	0
19 Space Energy, LLC	0
1904296 ALBERTA LTD.	0
1908 BRANDS, INC.	0
1910623 ALBERTA LTD.	0
1925650 Ontario Inc.	0
1930106 Ontario Limited	0
1934612 Ontario Inc.	0
1943596 ALBERTA LTD.	0
1947796 Ontario Inc.	0
1949467 ONTARIO INC.	0
1974 Productions Inc.	0
1974 PRODUCTIONS, INC.	0
1994 Weyer Family Limited Partnership	0
19th HOLE CART LLC	0
19th Space Electronics	0
19th Space Energy, LLC	0
1A Smart Start LLC	0
1AV GMBH INGENIEURGESELLSCHAFT AUTO UND VERKEHR	0
1C LLC	0
1Co, Inc.	0
1E LIMITED	0
1ELimited	0
1GLOBE  BIOMEDICAL CO., LTD.	0
1LSS, Inc.	0
1M2 DESIGN LIMITED	0
1-Material Inc	0
1MORE INC.	0
1More, Inc.	0
1nSite Technologies Ltd.	0
1nSite Technologies, Ltd.	0
1NTEGER, LLC	0
1OR Canada Ltd.	0
1-P.A.L. PTY LTD	0
1PerfectID, Inc.	0
1Q, LLC	0
1QB INFORMATION TECHNOLOGIES INC.	0
1QG INFORMATION TECHNOLOGIES INC.	0
1Spatial Group Limited	0
1st Communications Inc.	0
1st Detect Corporation	0
2 Face Case, LLC	0
2 FLG	0
2 GETTHERE B.V.	0
2 MINUTE SUSHI LLC	0
